,lon,lat
801,-92.1848162,38.5810283
802,-76.4405633,44.2737521
803,-95.454398,29.758842
804,-80.195396,25.8027376
805,-119.0109795,35.3901019
806,-82.8123646,39.8466556
807,-91.1871466,30.4514677
808,-105.0772063,39.766098
809,-75.1650077,39.942488
810,-71.3058676,42.6353844
811,-81.746849,38.3542119
812,-76.208479,36.860659
813,-80.2338695,36.1130707
814,-82.1361379,38.8470924
815,-119.7674034,39.1637984
816,NA,NA
817,-73.7448437,40.5998931
818,-97.9004213,31.1329713
819,-80.4925337,43.4516395
820,-96.9581062,32.8842363
821,-88.7496395,41.9209245
822,-74.0643065,40.3470543
823,-73.7845651,43.0831301
824,-96.6480423,32.7313144
825,-87.7096727,41.8957344
826,NA,NA
827,-76.6205751,39.2997387
828,-94.3898606,38.9101067
829,-76.8116045,35.4771094
830,-92.2791105,34.7511776
831,NA,NA
832,-112.0821359,37.6252615
833,NA,NA
834,-115.0827245,36.0225295
835,10.451526,51.165691
836,-120.8958242,38.8375215
837,-74.0059728,40.7127753
838,-88.5447968,44.0277586
839,-105.9337845,35.6854322
840,-74.9851678,39.8201681
841,-74.201645,40.661223
842,-117.435048,34.0922335
843,-90.0710437,29.9447365
844,-85.3618443,38.2485717
845,-73.567256,45.5016889
846,-97.7277959,31.1171194
847,NA,NA
848,-77.091463,45.8256552
849,-92.8088443,45.056004
850,-80.219767,40.5150806
851,-89.6662063,37.3822732
852,-78.9288242,40.022493
853,-84.8315921,37.7699146
854,-84.680501,38.9458951
855,-86.2605722,36.2834133
856,NA,NA
857,-79.2831039,42.1095021
858,-95.712891,37.09024
859,NA,NA
860,-95.712891,37.09024
861,-117.9463399,33.9398716
862,-80.2089795,25.7695358
863,-4.6679959,55.3649698
864,-82.0928145,34.8562891
865,-117.1042416,32.5808904
866,-73.4673454,40.7764882
867,-77.4360481,37.5407246
868,-82.907123,40.4172871
869,-71.0952891,42.5256563
870,-81.7799871,24.5550593
871,-73.1856703,40.7320429
872,-73.0789969,41.3462078
873,-82.6379387,38.4784144
874,-71.066163,42.4250964
875,-95.712891,37.09024
876,-81.0348144,34.0007104
877,-99.133208,19.4326077
878,-96.743,32.414863
879,-83.0558787,42.3608469
880,-94.2333355,36.0148605
881,-93.6249593,41.5868353
882,-74.3118212,39.9652553
883,-76.5317527,38.9861651
884,-91.8434668,33.9428794
885,-75.5993692,38.3606736
886,-99.9018131,31.9685988
887,-80.0134265,35.9602794
888,-82.9000751,32.1656221
889,NA,NA
890,9.501785,56.26392
891,-76.8499774,39.6048253
892,-91.8318334,35.20105
893,-77.5805209,43.151434
894,NA,NA
895,-82.445154,38.4192496
896,-87.8211854,42.5847425
897,-73.134961,40.789142
898,-97.8814712,36.4158309
899,-86.7849084,39.2440197
900,-85.9620838,39.609005
901,-77.8428427,35.9790659
902,-95.712891,37.09024
903,-118.380559,34.0877014
904,-97.1700279,49.8851132
905,-123.2159003,44.1217811
906,-98.4716776,28.9686714
907,-73.7845768,41.0050977
908,-81.5305646,28.5796525
909,-77.2267124,38.9164501
910,-118.5755987,34.4516612
911,NA,NA
912,-74.2179326,43.2994285
913,-76.5972067,39.2343869
914,-86.5001786,36.357513
915,-82.6402915,27.7676008
916,-78.9346611,35.9107266
917,-74.3000878,40.2136754
918,-77.024858,38.897177
919,-97.1682347,49.9044595
920,-122.0055195,37.3831789
921,-81.0138334,29.1949129
922,-112.4660912,42.9207477
923,NA,NA
924,-95.914481,36.149007
925,-120.4833261,37.3238684
926,-78.3341272,44.2875463
927,-71.1653428,42.4183236
928,-77.355413,25.0479835
929,-82.1076486,41.3683798
930,-117.9189742,33.8120918
931,-81.644519,28.8024918
932,-79.9918013,32.7833936
933,-82.8087864,40.0811745
934,-98.2283585,30.7582376
935,-85.122556,41.02939
936,NA,NA
937,-86.0085955,40.0455917
938,-71.8022934,42.2625932
939,-83.6538244,41.5628294
940,NA,NA
941,-96.4659155,32.8920354
942,-98.8651202,48.112779
943,-87.9318747,43.0426383
944,NA,NA
945,-76.7791365,39.0067768
946,-71.5225646,42.2286954
947,-79.8250479,40.4059022
948,-111.918605,40.7521715
949,-85.6023643,44.3148443
950,-122.12056,37.3993199
951,-95.712891,37.09024
952,-94.635082,39.1079671
953,NA,NA
954,-117.9242123,33.8703645
955,-79.874578,32.8050277
956,-74.6672226,40.3572976
957,-122.117624,37.665995
958,-118.3549609,34.1501794
959,-98.5098176,44.7380336
960,NA,NA
961,-84.3239989,33.7925195
962,-96.7969879,32.7766642
963,-76.727745,39.9625984
964,-90.0927581,29.9814289
965,-117.5667648,33.8710395
966,-83.1140797,40.6068981
967,-107.2902839,43.0759678
968,-87.9691948,43.1045208
969,-96.9511914,40.6327308
970,-83.9060996,35.9648677
971,-118.8375937,34.1705609
972,-82.4104745,28.0704647
973,-81.8723084,26.640628
974,-76.705642,39.9657989
975,-74.2765441,40.9253725
976,-116.3915131,43.6121087
977,-88.0078435,41.8800296
978,-76.727745,39.9625984
979,-75.072731,40.659686
980,-81.8778582,28.810823
981,NA,NA
982,-112.0740373,33.4483771
983,-117.5931084,34.1063989
984,-117.2000137,32.7662619
985,-91.9931531,41.0076913
986,-74.4761228,40.4703433
987,-74.1138564,40.5668489
988,-83.7764179,42.5207608
989,-118.2517625,34.0359893
990,-100.3120676,25.6522002
991,-73.9633123,40.6829149
992,NA,NA
993,-96.3344068,30.627977
994,-87.9064736,43.0389025
995,-92.5579397,35.8303543
996,-88.7878678,43.7844397
997,103.9581595,1.3379223
998,-117.9242123,33.8703645
999,NA,NA
1000,-91.5633792,34.5076352
1001,-80.062091,26.4619857
1002,-95.2013271,29.6964643
1003,-94.3413168,34.0378916
1004,-81.3968115,30.277759
1005,-82.4319405,28.3232418
1006,-79.3831843,43.653226
1007,NA,NA
1008,-93.065834,44.9717597
1009,-104.8396204,39.6990745
1010,-98.4996694,29.4134643
1011,-83.6270544,41.6505428
1012,-80.0678134,43.4195225
1013,-79.8592679,32.796948
1014,-75.1652215,39.9525839
1015,-77.3548462,41.3025592
1016,-111.9778086,41.0782474
1017,-80.066156,26.416522
1018,NA,NA
1019,-88.1064787,43.0605671
1020,-85.1303252,31.9183444
1021,-105.094353,41.143652
1022,-93.2617415,37.1956982
1023,-90.0656311,30.3582506
1024,-74.9168055,40.0936759
1025,NA,NA
1026,-81.7987995,26.2109456
1027,-71.0183787,42.0834335
1028,-86.3034347,32.3637854
1029,-88.6522849,36.7546578
1030,-77.9478997,34.3169186
1031,-76.7791365,39.0067768
1032,-111.9052712,33.4324216
1033,-77.0330057,38.9029048
1034,NA,NA
1035,-97.2974719,36.8050384
1036,-80.05996,26.8296579
1037,-86.3316012,36.2124133
1038,-73.9613101,40.7720155
1039,NA,NA
1040,-94.8826861,47.471573
1041,-87.8631362,42.8858503
1042,-79.2468626,43.1593745
1043,-82.9371409,42.4972583
1044,-88.0362704,42.4752918
1045,-94.5102283,37.080329
1046,-84.0807664,38.9636771
1047,-83.8544333,44.0475198
1048,-88.2314813,43.0116784
1049,-73.4862211,45.5405465
1050,-70.3105028,43.6513298
1051,-85.4716477,37.8323889
1052,5.291266,52.132633
1053,-116.419389,38.8026097
1054,-81.3792365,28.5383355
1055,-95.544619,33.660269
1056,-91.4098726,39.9356016
1057,-4.2026458,56.4906712
1058,NA,NA
1059,-89.8954011,43.0155526
1060,-92.0240128,30.2904067
1061,-95.712891,37.09024
1062,-77.130158,38.85223
1063,-81.3127109,35.7198353
1064,-86.0950623,35.1799268
1065,-75.1075091,40.0056906
1066,19.0601417,47.5054189
1067,-87.6549101,41.9569831
1068,-95.4799418,30.4249276
1069,-81.1053764,40.7297816
1070,-86.494436,36.952668
1071,-78.6381787,35.7795897
1072,-106.650422,35.0843859
1073,-78.8766785,42.9263904
1074,-97.221686,32.731103
1075,-87.9873842,44.4924625
1076,-94.7976958,29.3013479
1077,-83.5643781,41.6097726
1078,NA,NA
1079,-73.955412,40.735526
1080,-104.2288375,32.4206736
1081,NA,NA
1082,-89.910259,35.160831
1083,-104.8213634,38.8338816
1084,-80.884049,43.0381628
1085,-92.281017,42.4691543
1086,-84.6025076,39.18803
1087,-122.0327125,37.306932
1088,-115.2795877,36.1511447
1089,-76.8483061,39.0992752
1090,-78.927965,33.726746
1091,-92.0698029,46.8035093
1092,-105.271378,40.2247075
1093,-83.973813,37.700638
1094,-87.0492782,41.5870375
1095,NA,NA
1096,-96.728333,43.5473028
1097,-71.0331782,42.4344005
1098,-82.650941,46.386179
1099,-93.0264946,44.9697173
1100,-82.4765652,38.4142355
1101,-91.9099238,44.909416
1102,-82.6402915,27.7676008
1103,-112.5339099,45.999587
1104,-73.9826068,40.7478527
1105,-82.984818,40.101666
1106,-96.5153463,47.299689
1107,-86.39313,35.858517
1108,NA,NA
1109,-95.6349463,29.6196787
1110,-81.1577157,34.0787023
1111,-99.471091,27.487381
1112,-82.002696,33.469074
1113,-81.386899,40.8727711
1114,-75.4773698,40.6386178
1115,-74.7276626,39.4523385
1116,-97.1223858,32.7640505
1117,-102.117226,32.001696
1118,-115.3597129,51.0892428
1119,-117.2897652,34.1083449
1120,-76.9958149,39.5753791
1121,-122.2173483,47.9119694
1122,-81.4412264,30.2861921
1123,-88.0670118,41.8775293
1124,-73.9546131,40.6860933
1125,-121.9988898,38.3682368
1126,-76.429821,40.335716
1127,-81.864897,34.934878
1128,-122.1878842,48.0019026
1129,-102.7896242,46.8791756
1130,-96.796097,46.8629515
1131,-70.2962408,41.6687897
1132,-80.7236804,35.1168131
1133,-70.8226541,43.9653889
1134,NA,NA
1135,-104.987714,39.734548
1136,-84.3879824,33.7489954
1137,-79.9124968,35.7429548
1138,-120.8958242,38.8375215
1139,-87.8644053,42.7213507
1140,-76.2177046,43.106456
1141,-73.5753742,45.5007071
1142,-80.064189,26.700048
1143,-87.8083942,42.0757374
1144,-93.268827,44.2949636
1145,-95.7507815,30.2093794
1146,NA,NA
1147,-81.6745517,36.216795
1148,-106.3923995,31.782701
1149,-96.520908,33.0003417
1150,-86.2157642,43.2368363
1151,-94.5330096,38.8858407
1152,-118.7774133,34.2713557
1153,NA,NA
1154,-81.954241,26.4522652
1155,-71.2689461,42.5584218
1156,NA,NA
1157,-114.0346569,51.0883472
1158,-80.0023496,33.886767
1159,-73.9389213,40.7957399
1160,-83.0929644,39.8814519
1161,-118.252847,33.8758251
1162,NA,NA
1163,-99.9018131,31.9685988
1164,-74.2418409,40.9612057
1165,-86.5186045,35.9828412
1166,-97.3772572,27.684305
1167,NA,NA
1168,-80.2592857,36.093496
1169,-73.891542,40.8095516
1170,-75.6684267,45.3773078
1171,-114.073345,40.739097
1172,-74.4056612,40.0583238
1173,-97.092877,35.0077519
1174,-93.2173758,30.2265949
1175,-123.0221964,44.9483683
1176,-80.3046799,25.7598857
1177,-81.6555607,30.3276337
1178,-116.2023137,43.6150186
1179,-85.7371847,38.2775702
1180,-81.314196,35.716086
1181,-93.3640841,37.872278
1182,-122.3320708,47.6062095
1183,-74.6499927,40.4004952
1184,-86.0952638,39.5581038
1185,-76.4549457,41.003698
1186,-96.6988856,33.0198431
1187,NA,NA
1188,NA,NA
1189,-118.2436849,34.0522342
1190,-111.8626808,33.3004167
